SNAME,SCOMNAME,G_RANK,S_RANK,NAME_CATEGORY_DESC,ELCODE,EO_TRACK_STATUS_DESC,HPLIST
Sebastes miniatus,Vermillion rockfish,GNR,S3,Vertebrate Animal,AFC4A06390,Track all extant and selected historical EOs,4
Oncorhynchus tshawytscha pop. 27,"Chinook salmon (Oregon Coast ESU, spring run)",G5T3Q,S3,Vertebrate Animal,AFCHA0205J,Track all extant and selected historical EOs,4
Cottus tenuis,Slender sculpin,G3,S3,Vertebrate Animal,AFC4E02240,Track all extant and selected historical EOs,3
Falco peregrinus anatum,American Peregrine Falcon,G4T4,S3,Vertebrate Animal,ABNKD06071,Track all extant and selected historical EOs,4
Strix nebulosa,Great Gray Owl,G5,S3,Vertebrate Animal,ABNSB12040,Track all extant and selected historical EOs,3
Gymnorhinus cyanocephalus,Pinyon Jay,G3,S3,Vertebrate Animal,ABPAV07010,Track all extant and selected historical EOs,2
Sitta carolinensis aculeata,Slender-billed Nuthatch,G5TU,S3,Vertebrate Animal,ABPAZ01021,Track all extant and selected historical EOs,3
Oncorhynchus mykiss pop. 19,Klamath Basin redband trout,G5T3T4Q,S3,Vertebrate Animal,AFCHA0209T,Track all extant and selected historical EOs,4
Canachites canadensis,Spruce Grouse,G5,S3,Vertebrate Animal,ABNLC09010,Track all extant and selected historical EOs,3
Asio flammeus,Short-eared Owl,G5,S3,Vertebrate Animal,ABNSB13040,Track all extant and selected historical EOs,3
Eumetopias jubatus,Northern sea lion,G3,S3,Vertebrate Animal,AMAJC03010,Track all extant and selected historical EOs,2
Oregonichthys crameri,Oregon chub,G3,S3,Vertebrate Animal,AFCJB56010,Track all extant and selected historical EOs,1
Oncorhynchus tshawytscha pop. 19,"Chinook salmon (Middle Columbia River ESU, spring run)",G5T3Q,S3,Vertebrate Animal,AFCHA0205U,Track all extant and selected historical EOs,4
Catostomus tahoensis,Tahoe sucker,G4,S3,Vertebrate Animal,AFCJC02210,Track all extant and selected historical EOs,2
Lasiurus cinereus,Hoary bat,G3G4,S3,Vertebrate Animal,AMACC05032,Track all extant and selected historical EOs,3
Catostomus snyderi,Klamath largescale sucker,G3,S3,Vertebrate Animal,AFCJC02200,Track all extant and selected historical EOs,3
Sorex preblei,Preble's shrew,G4,S3,Vertebrate Animal,AMABA01030,Track all extant and selected historical EOs,3
Criocoris saliens,Salien plant bug,G4,S3,Invertebrate Animal,IIHEM84010,Track all extant and selected historical EOs,3
Monadenia chaceana,Chace sideband,G2G3Q,S3,Invertebrate Animal,IMGASC7150,Track all extant and selected historical EOs,3
Hebrus buenoi,Bueno's velvet water bug,G4,S3,Invertebrate Animal,IIHEM88010,Track all extant and selected historical EOs,3
Margaritifera falcata,Western pearlshell,G3G4,S3,Invertebrate Animal,IMBIV27020,Track all extant and selected historical EOs,2
Platylygus pseudotsugae,Douglas-fir plant bug,G5,S3,Invertebrate Animal,IIHEM98010,Track all extant and selected historical EOs,3
Rhyacophila leechi,A caddisfly,G3,S3,Invertebrate Animal,IITRI19390,Track all extant and selected historical EOs,2
Fluminicola turbiniformis,Turban pebblesnail,G3,S3,Invertebrate Animal,IMGASG3120,Track all extant and selected historical EOs,3
Rhyacophila chandleri,A caddisfly,G3,S3,Invertebrate Animal,IITRI19380,Track all extant and selected historical EOs,2
Pristiloma johnsoni,Broadwhorl tightcoil,G3,S3,Invertebrate Animal,IMGAS80050,Track all extant and selected historical EOs,3
Moselyana comosa,A caddisfly,G3,S3,Invertebrate Animal,IITRIC8010,Track all extant and selected historical EOs,3
Oligophlebodes mostbento,Tombstone Prairie caddisfly,G3,S3,Invertebrate Animal,IITRI17010,Track all extant and selected historical EOs,3
Rhyacophila unipunctata,One-spot rhyacophilan caddisfly,G3,S3,Invertebrate Animal,IITRI19090,Track all extant and selected historical EOs,3
Chloealtis aspasma,Siskiyou short-horned grasshopper,G3,S3,Invertebrate Animal,IIORT12010,Track all extant and selected historical EOs,1
